iter	MultiClass
0	1.377859194
1	1.369752734
2	1.363749973
3	1.358462257
4	1.352805072
5	1.348498694
6	1.343467503
7	1.339412811
8	1.335435885
9	1.331846378
10	1.32937246
11	1.325510584
12	1.322906463
13	1.320754066
14	1.31902342
15	1.316188055
16	1.313303983
17	1.311567313
18	1.309075182
19	1.307696225
20	1.305498565
21	1.304316265
22	1.302759327
23	1.301015349
24	1.298628043
25	1.297237232
26	1.295767147
27	1.293395815
28	1.292268496
29	1.290661194
30	1.289186274
31	1.289120975
32	1.28675415
33	1.284638911
34	1.282631804
35	1.281371769
36	1.279735794
37	1.279104138
38	1.278791372
39	1.277282353
40	1.276155941
41	1.274903606
42	1.27340825
43	1.272003403
44	1.271059488
45	1.269970755
46	1.269218814
47	1.268201301
48	1.267267304
49	1.266310433
50	1.264816719
51	1.263098721
52	1.261524231
53	1.26016827
54	1.258976193
55	1.257928308
56	1.257026784
57	1.256551095
58	1.25545921
59	1.254667366
60	1.253348838
61	1.252182477
62	1.250639259
63	1.249182988
64	1.248306107
65	1.247712356
66	1.24726844
67	1.246392929
68	1.245909746
69	1.245250888
70	1.244287257
71	1.243263196
72	1.241770904
73	1.239341652
74	1.238541443
75	1.237559549
76	1.235885245
77	1.234521231
78	1.232968234
79	1.232155142
80	1.231108982
81	1.229809927
82	1.228261337
83	1.227315419
84	1.226984246
85	1.225397133
86	1.223958386
87	1.22276901
88	1.22184249
89	1.220771768
90	1.220253519
91	1.219194739
92	1.217759654
93	1.217438461
94	1.216444413
95	1.215533563
96	1.213718445
97	1.212412069
98	1.211000895
99	1.210132227
100	1.208971627
101	1.208014005
102	1.207084727
103	1.205721365
104	1.204466674
105	1.203584364
106	1.202585956
107	1.201937529
108	1.200700529
109	1.199644093
110	1.198303091
111	1.197422799
112	1.196334723
113	1.195108337
114	1.193586905
115	1.19191182
116	1.190563315
117	1.189545583
118	1.188189089
119	1.187139093
120	1.18608487
121	1.184819214
122	1.183774686
123	1.181794421
124	1.180735189
125	1.179975452
126	1.178994989
127	1.178001899
128	1.176706287
129	1.175768993
130	1.174546718
131	1.173118915
132	1.17226399
133	1.171340714
134	1.170237837
135	1.169398867
136	1.168319475
137	1.167613521
138	1.166896761
139	1.166084265
140	1.164874195
141	1.163988864
142	1.162823134
143	1.161841471
144	1.160305677
145	1.159474034
146	1.158692806
147	1.157588482
148	1.15686556
149	1.155937322
150	1.154474101
151	1.153412795
152	1.151998471
153	1.151016907
154	1.149677255
155	1.147884725
156	1.146860961
157	1.145871248
158	1.144404377
159	1.14359917
160	1.142553855
161	1.141428104
162	1.140397885
163	1.13978363
164	1.138164534
165	1.137022947
166	1.136076574
167	1.135401544
168	1.133942598
169	1.133083894
170	1.131962794
171	1.130397938
172	1.129272752
173	1.128000666
174	1.127086707
175	1.126090168
176	1.124608271
177	1.123528109
178	1.123215036
179	1.122569302
180	1.121602732
181	1.120701216
182	1.120159542
183	1.118752641
184	1.11821941
185	1.11711943
186	1.116460719
187	1.115969198
188	1.115301036
189	1.114410992
190	1.113705253
191	1.112643631
192	1.111109273
193	1.110220975
194	1.109699861
195	1.108059752
196	1.107502144
197	1.106865374
198	1.106064719
199	1.104645718
200	1.103890336
201	1.103239494
202	1.10214295
203	1.101140057
204	1.099978606
205	1.099179241
206	1.098712248
207	1.097650754
208	1.096921728
209	1.096048422
210	1.095073818
211	1.094020679
212	1.0928913
213	1.092353934
214	1.091320651
215	1.090517164
216	1.089722467
217	1.088805334
218	1.08798043
219	1.087198435
220	1.086002277
221	1.085058192
222	1.084613518
223	1.083940245
224	1.082798207
225	1.082266119
226	1.081863086
227	1.080790619
228	1.079405552
229	1.078665884
230	1.077796652
231	1.076553948
232	1.075686317
233	1.074767464
234	1.073734729
235	1.073044793
236	1.071652552
237	1.071035997
238	1.069902159
239	1.068633819
240	1.067824562
241	1.06703428
242	1.065833156
243	1.065315724
244	1.063965112
245	1.062974603
246	1.061647514
247	1.060473856
248	1.059932489
249	1.059103012
250	1.05879638
251	1.057998422
252	1.057391441
253	1.056222435
254	1.055468022
255	1.054262858
256	1.053311576
257	1.052395686
258	1.051688328
259	1.051262311
260	1.050304287
261	1.049704146
262	1.048525584
263	1.047097898
264	1.046167227
265	1.045269962
266	1.044391983
267	1.043462506
268	1.042699554
269	1.04189851
270	1.040845082
271	1.040007172
272	1.039267763
273	1.038363071
274	1.03755685
275	1.036884634
276	1.036382461
277	1.035778852
278	1.034415479
279	1.033606057
280	1.032735913
281	1.032148381
282	1.030964309
283	1.029561098
284	1.02829189
285	1.027737594
286	1.026959659
287	1.025603377
288	1.024975034
289	1.024103512
290	1.023620032
291	1.022674818
292	1.021715974
293	1.020929103
294	1.020172249
295	1.018989623
296	1.018332769
297	1.01730152
298	1.01623796
299	1.015086387
300	1.014474986
301	1.013970333
302	1.013439899
303	1.013115477
304	1.011633728
305	1.011135193
306	1.010128084
307	1.009141021
308	1.008378822
309	1.007476573
310	1.006756739
311	1.00619688
312	1.00513627
313	1.004451807
314	1.003538752
315	1.00275901
316	1.002024447
317	1.001691115
318	1.000426545
319	0.9996583374
320	0.9986806061
321	0.9983395761
322	0.9972559317
323	0.996165494
324	0.9953909715
325	0.9949227552
326	0.994038251
327	0.9933676978
328	0.9922777046
329	0.9914285048
330	0.9905604296
331	0.9891639986
332	0.9883540692
333	0.9874347984
334	0.9862696928
335	0.9853359681
336	0.9843289203
337	0.9827916722
338	0.982238346
339	0.9810839044
340	0.9803840579
341	0.9792616848
342	0.9781493942
343	0.9771648297
344	0.9762453477
345	0.9753975373
346	0.9741030055
347	0.9734955262
348	0.9732123013
349	0.9724106943
350	0.9714650288
351	0.9702184691
352	0.9691897493
353	0.9676920593
354	0.9665635592
355	0.9656748257
356	0.9649800919
357	0.9642127055
358	0.9633485114
359	0.9627047042
360	0.9618959029
361	0.9603624303
362	0.9597511837
363	0.9586825909
364	0.9581188827
365	0.9574575239
366	0.9561329347
367	0.95508548
368	0.9539415415
369	0.9531675238
370	0.9524178312
371	0.9519443963
372	0.9514153915
373	0.9510436974
374	0.9504253374
375	0.9498662794
376	0.9490665065
377	0.9485464286
378	0.9478473549
379	0.9471083696
380	0.9464051055
381	0.9450563946
382	0.94424034
383	0.9434875429
384	0.9423441493
385	0.9414137115
386	0.9409024969
387	0.9399746593
388	0.938906324
389	0.9379224637
390	0.9375394169
391	0.9368278261
392	0.9361010284
393	0.9355432787
394	0.9344728522
395	0.9338203622
396	0.9331709544
397	0.9324191372
398	0.9310721656
399	0.9302975274
400	0.9298365201
401	0.9289432691
402	0.9282273138
403	0.9276085953
404	0.9266315534
405	0.9258714344
406	0.9253559566
407	0.9244227538
408	0.9235950256
409	0.922387815
410	0.9215632527
411	0.920896135
412	0.9205219723
413	0.9199595021
414	0.9193041981
415	0.918684776
416	0.9181676154
417	0.9171271889
418	0.9162249841
419	0.915639179
420	0.9147440922
421	0.9140160041
422	0.9131825799
423	0.912792881
424	0.9117836074
425	0.9110626844
426	0.9102361414
427	0.9093281204
428	0.9086627764
429	0.9079766911
430	0.9076686424
431	0.9071897658
432	0.906385813
433	0.9056990223
434	0.9052082548
435	0.9047083373
436	0.9039600582
437	0.9031963658
438	0.9028373286
439	0.9024539695
440	0.9017603322
441	0.9010349176
442	0.9002385672
443	0.89974713
444	0.8992613462
445	0.8984397668
446	0.8976277018
447	0.8968384695
448	0.8962066595
449	0.8956056539
450	0.8951976179
451	0.8945130449
452	0.8941308496
453	0.8934997331
454	0.8925869967
455	0.891402427
456	0.8908709548
457	0.8902662388
458	0.889584342
459	0.8892987792
460	0.8887216206
461	0.8884834835
462	0.8878973054
463	0.8873727358
464	0.8863288621
465	0.8854316072
466	0.884895994
467	0.8844251566
468	0.8837040306
469	0.8827775419
470	0.882292129
471	0.8815299161
472	0.880689937
473	0.8799802004
474	0.8794590301
475	0.8784718535
476	0.8777647978
477	0.8772579126
478	0.8766008554
479	0.8758389991
480	0.8754918758
481	0.8750706865
482	0.8746099432
483	0.8741735272
484	0.8733955974
485	0.8729000568
486	0.8724567586
487	0.8714706482
488	0.8706502064
489	0.8702071574
490	0.8693007029
491	0.8685905345
492	0.8678477076
493	0.8672160049
494	0.8666018815
495	0.8656471453
496	0.8651931185
497	0.8646721367
498	0.8640980848
499	0.8636076295
500	0.8628949492
501	0.8618986469
502	0.8613055868
503	0.8604320124
504	0.8596006564
505	0.8588664112
506	0.8579915422
507	0.8570881723
508	0.8563330784
509	0.8557159234
510	0.8546277116
511	0.8541455615
512	0.8534695495
513	0.8527396366
